Creating new genetic programming program...
Done. Evolving...
Fitness at evolution 1: 95.75782
Fitness at evolution 2: 95.75782
Fitness at evolution 3: 95.75782
Fitness at evolution 4: 95.75782
Fitness at evolution 5: 92.86717999999999
Fitness at evolution 6: 92.86717999999999
Fitness at evolution 7: 92.86717999999999
Fitness at evolution 8: 92.86717999999999
Fitness at evolution 9: 92.86717999999999
Fitness at evolution 10: 92.86717999999999
Fitness at evolution 11: 92.86717999999999
Fitness at evolution 12: 92.86717999999999
Fitness at evolution 13: 92.86717999999999
Fitness at evolution 14: 92.86717999999999
Fitness at evolution 15: 92.86717999999999
Fitness at evolution 16: 92.86717999999999
Fitness at evolution 17: 87.64846
Fitness at evolution 18: 77.45313999999999
Fitness at evolution 19: 77.45313999999999
Fitness at evolution 20: 63.921890000000005
Fitness at evolution 21: 63.921890000000005
Fitness at evolution 22: 63.921890000000005
Fitness at evolution 23: 63.921890000000005
Fitness at evolution 24: 63.921890000000005
Fitness at evolution 25: 60.429680000000005
Fitness at evolution 26: 60.429680000000005
Fitness at evolution 27: 59.415791111111105
Fitness at evolution 28: 59.415791111111105
Fitness at evolution 29: 54.429680000000005
Fitness at evolution 30: 54.429680000000005
Fitness at evolution 31: 54.429680000000005
Fitness at evolution 32: 32.5000225
Fitness at evolution 33: 32.5000225
Fitness at evolution 34: 32.5000225
Fitness at evolution 35: 20.0000375
Fitness at evolution 36: 20.0000375
Fitness at evolution 37: 19.909676054216863
Fitness at evolution 38: 19.909676054216863
Fitness at evolution 39: 19.909676054216863
Fitness at evolution 40: 19.909676054216863
Fitness at evolution 41: 19.909676054216863
Fitness at evolution 42: 19.909676054216863
Fitness at evolution 43: 19.909676054216863
Fitness at evolution 44: 19.909676054216863
Fitness at evolution 45: 19.909676054216863
Fitness at evolution 46: 19.909676054216863
Fitness at evolution 47: 3.7036662037036954
Fitness at evolution 48: 3.7036662037036954
Fitness at evolution 49: 3.7036662037036954
Fitness at evolution 50: 3.7036662037036954
Fitness at evolution 51: 3.7036662037036954
Fitness at evolution 52: 3.7036662037036954
Fitness at evolution 53: 3.7036662037036954
Fitness at evolution 54: 3.7036662037036954
Fitness at evolution 55: 3.7036662037036954
Fitness at evolution 56: 3.7036662037036954
Fitness at evolution 57: 3.7036662037036954
Fitness at evolution 58: 3.7036662037036954
Fitness at evolution 59: 3.7036662037036954
Fitness at evolution 60: 3.7036662037036954
Fitness at evolution 61: 3.7036662037036954
Fitness at evolution 62: 3.7036662037036954
Fitness at evolution 63: 3.7036662037036954
Fitness at evolution 64: 3.7036662037036954
Fitness at evolution 65: 3.7036662037036954
Fitness at evolution 66: 3.7036662037036954
Fitness at evolution 67: 3.7036662037036954
Fitness at evolution 68: 3.7036662037036954
Fitness at evolution 69: 3.7036662037036954
Fitness at evolution 70: 3.7036662037036954
Fitness at evolution 71: 3.7036662037036954
Fitness at evolution 72: 3.7036662037036954
Fitness at evolution 73: 3.7036662037036954
Fitness at evolution 74: 3.7036662037036954
Fitness at evolution 75: 3.7036662037036954
Fitness at evolution 76: 3.7036662037036954
Fitness at evolution 77: 3.7036662037036954
Fitness at evolution 78: 3.7036662037036954
Fitness at evolution 79: 3.7036662037036954
Fitness at evolution 80: 3.7036662037036954
Fitness at evolution 81: 3.7036662037036954
Fitness at evolution 82: 3.7036662037036954
Fitness at evolution 83: 3.7036662037036954
Fitness at evolution 84: 3.7036662037036954
Fitness at evolution 85: 3.7036662037036954
Fitness at evolution 86: 3.7036662037036954
Fitness at evolution 87: 3.7036662037036954
Fitness at evolution 88: 3.7036662037036954
Fitness at evolution 89: 3.7036662037036954
Fitness at evolution 90: 3.7036662037036954
Fitness at evolution 91: 3.7036662037036954
Fitness at evolution 92: 3.7036662037036954
Fitness at evolution 93: 3.7036662037036954
Fitness at evolution 94: 3.7036662037036954
Fitness at evolution 95: 3.7036662037036954
Fitness at evolution 96: 3.7036662037036954
Fitness at evolution 97: 3.7036662037036954
Fitness at evolution 98: 3.7036662037036954
Fitness at evolution 99: 3.7036662037036954
Fitness at evolution 100: 3.7036662037036954
Fitness at evolution 101: 3.7036662037036954
Fitness at evolution 102: 3.7036662037036954
Fitness at evolution 103: 3.7036662037036954
Fitness at evolution 104: 3.7036662037036954
Fitness at evolution 105: 3.7036662037036954
Fitness at evolution 106: 3.7036662037036954
Fitness at evolution 107: 3.7036662037036954
Fitness at evolution 108: 3.7036662037036954
Fitness at evolution 109: 3.7036662037036954
Fitness at evolution 110: 3.7036662037036954
Fitness at evolution 111: 3.7036662037036954
Fitness at evolution 112: 3.7036662037036954
Fitness at evolution 113: 3.7036662037036954
Done.

Best solution: (x * x) + ((93.0 / 93.0) + ((((x * x) - x) - x) * (x * x)))
Fitness achieved: 3.750000000124487E-5
